bgId,Latitude,Longitude
90034601002,41.7228807,-72.7633951
90135303011,41.8598209,-72.4835885
90034921003,41.7186626,-72.655754
90035014002,41.779941,-72.6862339
90034168001,41.689607,-72.777518
90035106001,41.7539349,-72.6413065
90035102001,41.7700414,-72.6447661
90035002001,41.751327,-72.6745322
90035241002,41.683805,-72.456445
90035021001,41.7668262,-72.6764468
90035027002,41.7431051,-72.6840421
90035003002,41.7545043,-72.6812432
90034969006,41.759633,-72.7400297
90034713002,41.8162292,-72.7267825
90034712002,41.8155926,-72.714196
90035245021,41.76862466,-72.71214902
90034173001,41.6906682,-72.7665496
90035024001,41.7413548,-72.6763568
90034926001,41.6931549,-72.6580157
90034923005,41.7229765,-72.6670261
90035143003,41.7836868,-72.5104771
90035149001,41.7857163,-72.4958333
90035027003,41.7522322,-72.6854425
90035031001,41.7709105,-72.6973561
90035246002,41.7681862,-72.6842081
90034971001,41.7652731,-72.7255463
90035003002,41.7555138,-72.6760696
90035009001,41.7803889,-72.6754904
90035025002,41.731201,-72.6696803
90035025002,41.7366336,-72.6709115
90035009001,41.7836006,-72.6744934
90035021001,41.7664194,-72.6734422
90035003002,41.7545818,-72.6786334
90091716003,41.5508898,-72.8078576
90035049002,41.7456585,-72.6991496
90034969002,41.758456,-72.717687
90034961001,41.7320629,-72.72039
90035031001,41.7711118,-72.6979979
90035024003,41.7358078,-72.6727863
90035007001,41.783498,-72.6630897
90035004001,41.7577711,-72.6656882
90034156001,41.657557,-72.7816566
90034158001,41.6669428,-72.7854783
90035033002,41.7712599,-72.690292
90034946002,41.7022288,-72.7411714
90035042002,41.7655284,-72.7058633
90035013001,41.7878463,-72.6771312
90034961003,41.7389693,-72.7203287
90035043001,41.7478168,-72.712847
90035018003,41.7779993,-72.6848059
90035102002,41.7667993,-72.6461468
90034171001,41.6684276,-72.7822393
90034206004,41.6732393,-72.8393231
90035151021,41.7795793,-72.5749677
90035021002,41.7650541,-72.6704041
90035102002,41.7694029,-72.648785
90035021002,41.7665316,-72.6719747
